year,max_high_F,avg_high_F,min_low_F,avg_low_F,max_precip_in,sum_precip_in,state
2003,97,59.70684932,-10,37.49315068,1.13,28.05,KS
2004,90,59.61748634,-10,38.56010929,1.15,33.08,KS
2005,96,60.98082192,-9,39.55616438,0.83,28.3,KS
2006,97,61.72876712,-11,40.41917808,1.07,31.36,KS
2007,93,60.1260274,-10,39.31506849,1.41,40.82,KS
2008,91,57.04098361,-15,36.12568306,1.41,41.9,KS
2009,93,57.62191781,-22,36.99178082,1.3,38.36,KS
2010,92,59.27123288,-17,38.64109589,1.15,42.37,KS
2011,97,59.84657534,-9,39.82191781,1.07,29.22,KS
2012,101,64.53278689,0,41.72404372,1.02,23.4,KS
2013,96,57.62191781,-15,37.17260274,1.85,33.11,KS
2014,89,56.26849315,-17,35.26575342,1.63,39.73,KS
2015,93,59.7260274,-12,38.8739726,1.6,42.41301321,KS
2016,93,60.71311475,-17,40.37431694,1.52,37.34,KS
2017,92,60.49041096,-12,39.26849315,1.35,34.23,KS
2018,48,23.13636364,-21,3.681818182,0.43,0.78,KS
